title,symptom_keywords,symptom_keywords,recommendation,
Gestational Cholestasis,"Itchy skin, particularly on the hands and feet","Itchy skin, particularly on the hands and feet",,
Injury to Internal Organ,"Abdominal pain, bleeding, organ dysfunction","Abdominal pain, bleeding, organ dysfunction","Immediate medical attention, diagnostic tests, surgery (in some cases)",
Scabies,"Intense itching, especially at night, small blisters or bumps","Intense itching, especially at night, small blisters or bumps","Prescription medications (topical or oral scabicides), washing clothes and bedding in hot water, vacuuming and cleaning home",
Congenital Glaucoma,"Cloudy or hazy eyes, excessive tearing, sensitivity to light","Cloudy or hazy eyes, excessive tearing, sensitivity to light","Surgery (e.g., trabeculotomy, goniotomy) to create a new drainage pathway, medications to reduce intraocular pressure",
Avoidant/Restrictive Food Intake Disorder (ARFID),"Avoidance or restriction of certain foods or entire food groups, significant weight loss or failure to gain weight","Avoidance or restriction of certain foods or entire food groups, significant weight loss or failure to gain weight","Nutritional counseling, psychotherapy (such as cognitive-behavioral therapy or family-based therapy), medical monitoring, exposure therapy, occupational therapy",
Subdural hemorrhage,"Headache, confusion, dizziness, nausea or vomiting, seizures, weakness or numbness","Headache, confusion, dizziness, nausea or vomiting, seizures, weakness or numbness","Immediate medical attention, close monitoring of vital signs and neurological status, diagnostic imaging (such as CT or MRI scan), potential surgical intervention (such as craniotomy or burr hole evacuation), medication to manage symptoms",
Poisoning due to Antidepressants,"Nausea, vomiting, drowsiness, dizziness, confusion, seizures, changes in heart rate, low blood pressure, respiratory distress","Nausea, vomiting, drowsiness, dizziness, confusion, seizures, changes in heart rate, low blood pressure, respiratory distress","Seek immediate medical assistance or contact a poison control center, activated charcoal (if indicated), supportive care (maintaining vital signs, airway management), gastric lavage (in certain cases), administration of antidotes (if available and appropriate), monitoring and management of complications",
Mittelschmerz,Lower abdominal pain and discomfort occurring around the time of ovulation,Lower abdominal pain and discomfort occurring around the time of ovulation,"Pain management (over-the-counter pain relievers, heat therapy), hormonal birth control (if severe or recurrent)",
Cornea Infection,"Eye redness, pain or discomfort, blurred or decreased vision, increased sensitivity to light","Eye redness, pain or discomfort, blurred or decreased vision, increased sensitivity to light","Antibiotic or antifungal eye drops, oral medications, supportive care, possible corneal transplant (in severe cases)",
Myopia,"Blurred distance vision, eyestrain, squinting","Blurred distance vision, eyestrain, squinting","Eyeglasses, contact lenses, refractive surgery (LASIK), orthokeratology (for some cases)",
Abscess of the Lung,"Cough with phlegm or pus, chest pain, fever, shortness of breath, fatigue","Cough with phlegm or pus, chest pain, fever, shortness of breath, fatigue","Antibiotics, drainage or surgical removal of the abscess, supportive care, management of underlying lung conditions",
Congenital rubella,"Developmental delays, intellectual disability, hearing loss, vision problems, heart defects, liver or spleen enlargement, rash at birth","Developmental delays, intellectual disability, hearing loss, vision problems, heart defects, liver or spleen enlargement, rash at birth","Supportive care to manage symptoms and complications, early intervention services for developmental delays, educational support, vision and hearing interventions, specialized medical care as needed",
Intertrigo,"Red, raw, or inflamed skin in skin folds (such as armpits or groin), itching or burning sensation","Red, raw, or inflamed skin in skin folds (such as armpits or groin), itching or burning sensation","Keeping the affected area clean and dry, applying topical antifungal or antibacterial creams, using barrier creams",
Insect Bites,"Red, swollen, itchy bumps","Red, swollen, itchy bumps","Topical corticosteroids, oral antihistamines, cold compresses",
Complex Regional Pain Syndrome,"Severe and chronic pain, often in the limbs, with associated swelling, changes in skin color or temperature, abnormal sweating, limited range of motion","Severe and chronic pain, often in the limbs, with associated swelling, changes in skin color or temperature, abnormal sweating, limited range of motion","Physical therapy (including exercises, stretching, and mirror therapy), pain management techniques (such as medications, nerve blocks, or spinal cord stimulation), sympathetic nerve blocks, psychological support (such as cognitive-behavioral therapy or counseling), occupational therapy, graded motor imagery, transcutaneous electrical nerve stimulation (TENS), patient education and self-management techniques",
Anxiety,"Excessive worrying, restlessness, increased heart rate, panic attacks","Excessive worrying, restlessness, increased heart rate, panic attacks","Therapy (cognitive-behavioral therapy, psychotherapy), medications (antidepressants, anti-anxiety drugs)",
Gastroesophageal Reflux Disease (GERD),"Heartburn, acid reflux, chest pain","Heartburn, acid reflux, chest pain","Lifestyle changes, medications (antacids, proton pump inhibitors)",
